FUNCTION00,STREET_N01,Segment_Di,Lanes,Median,Park,Shoulder,Bikelane,PedCrossin,Length,Index,Dir_drive,ADTJan2009-Dec2009,ADTJan2010-Dec2010,ADTJan2011-Dec2011,ADTJan2012-Dec2012,ADTJan2013-Dec2013,ADTJan2014-Dec2014,ADTJan2015-Dec2015,ADTJan2016-Dec2016,ADTJan2017-Dec2017,ADTJan2018-Dec2018,CollisionsJan2009-Dec2009,CollisionsJan2010-Dec2010,CollisionsJan2011-Dec2011,CollisionsJan2012-Dec2012,CollisionsJan2013-Dec2013,CollisionsJan2014-Dec2014,CollisionsJan2015-Dec2015,CollisionsJan2016-Dec2016,CollisionsJan2017-Dec2017,CollisionsJan2018-Dec2018,LnAvgADT,LnLength,SumCollisions,Offset,Offset2,Distance_to_school,Distance_to_senior,Number of DFS,Site_ID,Location_D,Direction,Speed_Limi,Ward,Neighbourh,Neighbou_1,Latitude,Longitude,Interventi,Enforcemen,Site_ID.1,Location_D.1,Direction.1,Speed_Limi.1,Ward.1,Neighbourh.1,Neighbou_1.1,Latitude.1,Longitude.1,Interventi.1,Enforcemen.1,Site_ID.2,Location_D.2,Direction.2,Speed_Limi.2,Ward.2,Neighbourh.2,Neighbou_1.2,Latitude.2,Longitude.2,Interventi.2,Enforcemen.2,avgADT,speed_osm,lanes_osm
Arterial-Class A (Primary Highway Truck Route),97 ST [NB-S] NW,N,3,1,0,0,0,0,410.619,Mid34,NBD,19532.65161,19904.13793,20275.62426,20407.85751,21326.60028,21916.37009,22344,24217,24734.66585,25090.74538,0,2,0,4,1,2,4,5,0,1,9.997659143,6.017665777,19,2.302585093,8.32025087,722.8861853,1406.876324,0,,,,,,,,53.61948579,-113.4916895,,,,,,,,,,,,,,,,,,,,,,,,,21974.96529,40,1
Arterial-Class A (Primary Highway Truck Route),97 ST [NB-S] NW,N,3,1,0,0,0,0,1062.21,Mid37,NBD,11036.75,12042.5,13048.25,14054,14612,15170,14224,14917,15235.8678,15455.20291,1,5,4,0,1,2,1,1,1,2,9.545351332,6.968106922,18,2.302585093,9.270692015,296.6065303,2613.808573,0,,,,,,,,53.63368355,-113.4917033,,,,,,,,,,,,,,,,,,,,,,,,,13979.55707,80,2
Arterial-Class A (Primary Highway Truck Route),97 ST [NB-S] NW,N,3,1,0,0,0,0,716.839,Mid39,NBD,6807,8502,10197,11892,11996,12100,11259,14188,14491.2846,14699.90071,4,4,1,1,0,0,1,3,0,3,9.359899257,6.574851269,17,2.302585093,8.877436362,427.8960134,3330.665292,0,,,,,,,,53.64168018,-113.4915149,,,,,,,,,,,,,,,,,,,,,,,,,11613.21853,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST [SB-S] NW,S,3,1,0,0,0,0,467.406,Mid48,SBD,20116.60306,20499.1954,20881.78775,21017.97427,21964.18393,22571.58559,23012,24142,22042.5,19943,3,7,3,6,5,2,3,3,4,1,9.981331676,6.147198259,37,2.302585093,8.449783352,324.2322467,529.02808,0,,,,,,,,53.6047503,-113.4920205,,,,,,,,,,,,,,,,,,,,,,,,,21619.083,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST [SB-S] NW,S,3,1,0,0,0,0,808.771,Mid50,SBD,19639.98478,20013.51245,20387.04012,20520,20123,23502,22936.5,23964,24476.25769,24828.61718,7,3,0,6,3,3,5,5,3,1,10.00057303,6.695515811,36,2.302585093,8.998100904,313.5733807,555.1378465,0,,,,,,,,53.61041133,-113.4919979,,,,,,,,,,,,,,,,,,,,,,,,,22039.09122,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST [SB-S] NW,S,3,1,0,0,0,0,720.82,Mid57,SBD,7305,8378,9451,10524,11174.5,11825,11641,13518,13806.96259,14005.72722,6,5,3,1,1,3,1,0,0,2,9.320352759,6.580389453,22,2.302585093,8.882974546,427.9466364,3337.211663,0,,,,,,,,53.6415916,-113.4918169,,,,,,,,,,,,,,,,,,,,,,,,,11162.91898,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST [SB-S] NW,S,3,1,0,0,0,0,435.727,Mid58,SBD,6506.512975,6630.258621,6754.004267,6798.052428,7104.094429,7300.552388,7443,7479.514154,7639.397255,7749.373796,0,0,0,0,0,0,1,0,0,0,8.873534724,6.0770159,1,2.302585093,8.379600993,1475.057628,3717.735092,0,,,,,,,,53.6507559,-113.4915161,,,,,,,,,,,,,,,,,,,,,,,,,7140.476031,70,2
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,355.081,Mid59,NBD,27285.04385,27803.97087,28322.89789,28507.61373,29791,29969,30607.5,31499,32172.32686,32635.47875,6,7,5.5,5.5,11,5.5,8.5,4,7,6,10.30425441,5.872345932,66,2.302585093,8.174931025,589.2538143,1004.73146,0,,,,,,,,53.58318383,-113.4919681,,,,,,,,,,,,,,,,,,,,,,,,,29859.3832,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,355.081,Mid59,SBD,27027.68098,27541.71328,28055.74559,28238.71912,29510,27930,28298.5,29915,30554.46706,30994.32829,7,14,3.5,15.5,11,9.5,8.5,9,3,8,10.26836034,5.872345932,89,2.302585093,8.174931025,589.2538143,1004.73146,0,,,,,,,,53.58318383,-113.4919681,,,,,,,,,,,,,,,,,,,,,,,,,28806.61543,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,477.461,Mid60,NBD,21862.1059,22277.8955,22693.68509,22841.68842,23870,24949,26028,25870.5,26423.51129,26803.90339,16.5,5.5,4,7,6.5,8,4,4,5.5,3.5,10.10078101,6.168482481,64.5,2.302585093,8.471067574,521.2223407,561.9340383,0,,,,,,,,53.58695826,-113.4920466,,,,,,,,,,,,,,,,,,,,,,,,,24362.02896,60,2
