FUNCTION00,STREET_N01,Segment_Di,Lanes,Median,Park,Shoulder,Bikelane,PedCrossin,Length,Index,Dir_drive,ADTJan2009-Dec2009,ADTJan2010-Dec2010,ADTJan2011-Dec2011,ADTJan2012-Dec2012,ADTJan2013-Dec2013,ADTJan2014-Dec2014,ADTJan2015-Dec2015,ADTJan2016-Dec2016,ADTJan2017-Dec2017,ADTJan2018-Dec2018,CollisionsJan2009-Dec2009,CollisionsJan2010-Dec2010,CollisionsJan2011-Dec2011,CollisionsJan2012-Dec2012,CollisionsJan2013-Dec2013,CollisionsJan2014-Dec2014,CollisionsJan2015-Dec2015,CollisionsJan2016-Dec2016,CollisionsJan2017-Dec2017,CollisionsJan2018-Dec2018,LnAvgADT,LnLength,SumCollisions,Offset,Offset2,Distance_to_school,Distance_to_senior,Number of DFS,Site_ID,Location_D,Direction,Speed_Limi,Ward,Neighbourh,Neighbou_1,Latitude,Longitude,Interventi,Enforcemen,Site_ID.1,Location_D.1,Direction.1,Speed_Limi.1,Ward.1,Neighbourh.1,Neighbou_1.1,Latitude.1,Longitude.1,Interventi.1,Enforcemen.1,Site_ID.2,Location_D.2,Direction.2,Speed_Limi.2,Ward.2,Neighbourh.2,Neighbou_1.2,Latitude.2,Longitude.2,Interventi.2,Enforcemen.2,avgADT,speed_osm,lanes_osm
Arterial-Class A (Primary Highway Truck Route),97 ST [NB-S] NW,N,3,1,0,0,0,0,405.95,Mid33,NBD,19297,19983.33333,20669.66667,21356,23060,24764,22223,24219,24736.7086,25092.81754,2,7,3,1,2,1,0,6,3,4,10.02305356,6.006229999,29,2.302585093,8.308815092,637.1373359,1050.451361,0,,,,,,,,53.61580153,-113.4916808,,,,,,,,,,,,,,,,,,,,,,,,,22540.15261,70,3
Arterial-Class A (Primary Highway Truck Route),97 ST [NB-S] NW,N,3,1,0,0,0,0,410.619,Mid34,NBD,19532.65161,19904.13793,20275.62426,20407.85751,21326.60028,21916.37009,22344,24217,24734.66585,25090.74538,0,1,0,4,1,2,3,4,0,1,9.997659143,6.017665777,16,2.302585093,8.32025087,722.8861853,1406.876324,0,,,,,,,,53.61948579,-113.4916895,,,,,,,,,,,,,,,,,,,,,,,,,21974.96529,40,1
Arterial-Class A (Primary Highway Truck Route),97 ST [NB-S] NW,N,3,1,0,0,0,0,1062.21,Mid37,NBD,11036.75,12042.5,13048.25,14054,14612,15170,14224,14917,15235.8678,15455.20291,1,5,3,0,1,2,0,0,1,1,9.545351332,6.968106922,14,2.302585093,9.270692015,296.6065303,2613.808573,0,,,,,,,,53.63368355,-113.4917033,,,,,,,,,,,,,,,,,,,,,,,,,13979.55707,80,2
Arterial-Class A (Primary Highway Truck Route),97 ST [NB-S] NW,N,3,1,0,0,0,0,716.839,Mid39,NBD,6807,8502,10197,11892,11996,12100,11259,14188,14491.2846,14699.90071,4,4,1,1,0,0,1,3,0,2,9.359899257,6.574851269,16,2.302585093,8.877436362,427.8960134,3330.665292,0,,,,,,,,53.64168018,-113.4915149,,,,,,,,,,,,,,,,,,,,,,,,,11613.21853,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST [SB-S] NW,S,3,1,0,0,0,0,467.406,Mid48,SBD,20116.60306,20499.1954,20881.78775,21017.97427,21964.18393,22571.58559,23012,24142,22042.5,19943,2,7,2,4,3,2,3,3,3,0,9.981331676,6.147198259,29,2.302585093,8.449783352,324.2322467,529.02808,0,,,,,,,,53.6047503,-113.4920205,,,,,,,,,,,,,,,,,,,,,,,,,21619.083,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST [SB-S] NW,S,3,1,0,0,0,0,808.771,Mid50,SBD,19639.98478,20013.51245,20387.04012,20520,20123,23502,22936.5,23964,24476.25769,24828.61718,7,3,0,5,3,3,5,4,3,1,10.00057303,6.695515811,34,2.302585093,8.998100904,313.5733807,555.1378465,0,,,,,,,,53.61041133,-113.4919979,,,,,,,,,,,,,,,,,,,,,,,,,22039.09122,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST [SB-S] NW,S,3,1,0,0,0,0,720.82,Mid57,SBD,7305,8378,9451,10524,11174.5,11825,11641,13518,13806.96259,14005.72722,4,5,2,0,1,3,1,0,0,1,9.320352759,6.580389453,17,2.302585093,8.882974546,427.9466364,3337.211663,0,,,,,,,,53.6415916,-113.4918169,,,,,,,,,,,,,,,,,,,,,,,,,11162.91898,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST [SB-S] NW,S,3,1,0,0,0,0,435.727,Mid58,SBD,6506.512975,6630.258621,6754.004267,6798.052428,7104.094429,7300.552388,7443,7479.514154,7639.397255,7749.373796,0,0,0,0,0,0,1,0,0,0,8.873534724,6.0770159,1,2.302585093,8.379600993,1475.057628,3717.735092,0,,,,,,,,53.6507559,-113.4915161,,,,,,,,,,,,,,,,,,,,,,,,,7140.476031,70,2
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,355.081,Mid59,NBD,27285.04385,27803.97087,28322.89789,28507.61373,29791,29969,30607.5,31499,32172.32686,32635.47875,6,6,4,4.5,10,4.5,8.5,4,7,5,10.30425441,5.872345932,59.5,2.302585093,8.174931025,589.2538143,1004.73146,0,,,,,,,,53.58318383,-113.4919681,,,,,,,,,,,,,,,,,,,,,,,,,29859.3832,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,355.081,Mid59,SBD,27027.68098,27541.71328,28055.74559,28238.71912,29510,27930,28298.5,29915,30554.46706,30994.32829,6,11,3,10.5,9,9.5,6.5,8,2,7,10.26836034,5.872345932,72.5,2.302585093,8.174931025,589.2538143,1004.73146,0,,,,,,,,53.58318383,-113.4919681,,,,,,,,,,,,,,,,,,,,,,,,,28806.61543,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,477.461,Mid60,NBD,21862.1059,22277.8955,22693.68509,22841.68842,23870,24949,26028,25870.5,26423.51129,26803.90339,15,5.5,4,7,6,6,3.5,4,5.5,2.5,10.10078101,6.168482481,59,2.302585093,8.471067574,521.2223407,561.9340383,0,,,,,,,,53.58695826,-113.4920466,,,,,,,,,,,,,,,,,,,,,,,,,24362.02896,60,2
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,477.461,Mid60,SBD,20284.95691,20670.75113,21056.54535,21193.8716,22148,22971.25,23794.5,24813,25343.40602,25708.24896,5,9.5,10,8,2,7,8.5,1,1.5,1.5,10.03444796,6.168482481,54,2.302585093,8.471067574,521.2223407,561.9340383,0,,,,,,,,53.58695826,-113.4920466,,,,,,,,,,,,,,,,,,,,,,,,,22798.453,60,2
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,437.933,Mid61,NBD,21818.14356,22233.09705,22648.05054,22795.75625,23822,23747,25498.5,25336,25877.58574,26250.11872,7.5,11,6,5.5,8.5,4,8.5,6,3.5,4,10.08591849,6.082065931,64.5,2.302585093,8.384651024,514.3727237,22.35959062,0,,,,,,,,53.59405689,-113.4919842,,,,,,,,,,,,,,,,,,,,,,,,,24002.62518,60,3
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,437.933,Mid61,SBD,19819.6888,20196.63421,20573.57962,20707.75607,21640,21213,23431.5,24219,24736.7086,25092.81754,9.5,8,2,9.5,3.5,7,4.5,2,6.5,3,10.0061826,6.082065931,55.5,2.302585093,8.384651024,514.3727237,22.35959062,0,,,,,,,,53.59405689,-113.4919842,,,,,,,,,,,,,,,,,,,,,,,,,22163.06848,60,3
Arterial-Class A (Primary Highway Truck Route),HIGHWAY 14 [EB-S],E,4,1,0,1,0,0,2478.22,Mid97,EBD,9375.567869,9553.87931,9732.190751,9795.662003,10236.6536,10519.73994,10725,10777.61512,11007.99887,11166.4697,0,0,0,0,0,0,0,0,0,0,9.238838196,7.81529584,0,2.302585093,10.11788093,2784.11906,3520.734298,0,,,,,,,,53.44660478,-113.313952,,,,,,,,,,,,,,,,,,,,,,,,,10289.07772,80,2
Arterial-Class A (Primary Highway Truck Route),HIGHWAY 14 [WB-S],W,4,1,0,1,0,0,2486.69,Mid102,WBD,9806.538029,9993.045977,10179.55393,10245.94278,10707.2056,11003.30467,11218,11273.03369,11514.00758,11679.7629,0,0,0,0,0,0,0,0,0,0,9.283780362,7.818707788,0,2.302585093,10.12129288,2809.766566,3491.891552,0,,,,,,,,53.44687475,-113.3140184,,,,,,,,,,,,,,,,,,,,,,,,,10762.03952,100,4
Arterial-Class A (Primary Highway Truck Route),HIGHWAY 814 [NB-S],N,1,0,0,0,0,0,2910.96,Mid116,NBD,8948.094425,9118.275862,9288.457299,9349.034617,9769.919464,10040.09865,10236,9906,10117.75199,10263.40685,0,0,0,0,0,0,0,0,0,0,9.180262939,7.976238203,0,2.302585093,10.2788233,2158.501805,7008.871833,0,,,,,,,,53.37985019,-113.4180317,,,,,,,,,,,,,,,,,,,,,,,,,9703.703916,80,2
Arterial-Class A (Primary Highway Truck Route),HIGHWAY 814 [SB-S],S,1,0,0,0,0,0,2917.54,Mid117,SBD,8976.068148,9146.781609,9317.495071,9378.261767,9800.462393,10071.48622,10268,9501,9704.094653,9843.794519,0,0,0,0,0,0,0,0,0,0,9.16959592,7.978496074,0,2.302585093,10.28108117,2157.633894,7008.871833,0,,,,,,,,53.37985224,-113.4184525,,,,,,,,,,,,,,,,,,,,,,,,,9600.744438,70,1
Arterial-Class A (Primary Highway Truck Route),MANNING DR [NB-S] NW,N,2,1,0,1,0,0,944.099,Mid122,NBD,12790.87508,13034.14134,13277.40761,13364,12750,14597,16511,13478,13766.10754,13964.28403,0,0,0,0,0,0,1,2,1,3,9.529032734,6.850231034,7,2.302585093,9.152816127,1131.163523,1434.953434,0,,,,,,,,53.61046797,-113.4066589,,,,,,,,,,,,,,,,,,,,,,,,,13753.28156,60,2
Arterial-Class A (Primary Highway Truck Route),MANNING DR [NB-S] NW,N,2,1,0,1,0,0,546.575,Mid124,NBD,9309,10558.66667,11808.33333,13058,12126,14425,16577,11753,12004.23371,12177.04631,2,1,0,0,0,0,0,0,0,0,9.423807497,6.303671535,3,2.302585093,8.606256628,1121.876889,2368.437432,0,,,,,,,,53.61664293,-113.4015685,,,,,,,,,,,,,,,,,,,,,,,,,12379.628,70,2
Arterial-Class A (Primary Highway Truck Route),MANNING DR [NB-S] NW,N,2,1,0,1,0,0,737.814,Mid129,NBD,11468.67575,11686.79545,11904.91516,11982.55645,12522,14947,17372,12848,13122.64058,13311.55373,1,0,0,0,0,1,1,0,1,0,9.481634928,6.60369176,4,2.302585093,8.906276853,1246.114442,2923.055045,0,,,,,,,,53.62237947,-113.398682,,,,,,,,,,,,,,,,,,,,,,,,,13116.61371,70,2
Arterial-Class A (Primary Highway Truck Route),MANNING DR [NB-S] NW,N,2,1,0,1,0,0,4164.76,Mid130,NBD,7219.25,8645.5,10071.75,11498,12707,13916,15125,12262,12524.11416,12704.41095,6,7,4,3,1,5,0,2,2,4,9.364545551,8.33441393,34,2.302585093,10.63699902,1607.697092,2925.414168,0,,,,,,,,53.6439035,-113.3903428,,,,,,,,,,,,,,,,,,,,,,,,,11667.30251,70,1
Arterial-Class A (Primary Highway Truck Route),MANNING DR [SB-S] NW,S,2,1,0,1,0,0,1009.03,Mid138,SBD,12988.04062,13235.05672,13482.07282,13570,13182,15194,16564,12881,13156.34599,13345.74436,0,0,0,0,0,1,4,1,0,2,9.52950847,6.916744752,8,2.302585093,9.219329845,1159.314398,1335.73168,0,,,,,,,,53.61056471,-113.4080477,,,,,,,,,,,,,,,,,,,,,,,,,13759.82605,60,2
Arterial-Class A (Primary Highway Truck Route),MANNING DR [SB-S] NW,S,2,1,0,1,0,0,4265.9,Mid143,SBD,7343.75,8586.5,9829.25,11072,12712,14352,15992,12879,13154.30324,13343.6722,8,3,2,1,5,7,3,5,2,5,9.386513696,8.358408458,41,2.302585093,10.66099355,1584.238963,2895.313322,0,,,,,,,,53.64444397,-113.3906011,,,,,,,,,,,,,,,,,,,,,,,,,11926.44754,60,2
Arterial-Class A (Primary Highway Truck Route),MARK MESSIER TR [NB-S] NW,N,1,0,0,0,0,0,337.109,Mid150,NBD,21177.46289,21580.23145,21983,18516,18211,18550,17467,17666,18043.63079,18303.38638,9,6,6,3,4,6,7,2,2,1,9.860046044,5.82040632,46,2.302585093,8.122991413,1402.423637,2442.637526,0,,,,,,,,53.60085442,-113.5761396,,,,,,,,,,,,,,,,,,,,,,,,,19149.77115,60,5
Arterial-Class A (Primary Highway Truck Route),SHERWOOD PARK FWY [EB-S],E,3,1,0,1,0,0,4101.81,Mid167,EBD,21426.75,20983.5,20540.25,20097,20548,18844,17176.5,15509,15840.52247,16068.56217,2,0,0,0,0,0,0,0,0,0,9.836461057,8.319183619,2,2.302585093,10.62176871,2467.247876,2361.35459,0,,,,,,,,53.51607302,-113.3635978,,,,,,,,,,,,,,,,,,,,,,,,,18703.40846,60,2
Arterial-Class A (Primary Highway Truck Route),SHERWOOD PARK FWY [WB-S],W,3,1,0,1,0,0,4176.77,Mid169,WBD,22522.5,22026,21529.5,21033,20654,19742,18127,16512,16864.96273,17107.75025,0,1,0,0,0,0,0,0,0,0,9.88389034,8.3372935,1,2.302585093,10.63987859,2450.027992,2348.882003,0,,,,,,,,53.5162498,-113.3630448,,,,,,,,,,,,,,,,,,,,,,,,,19611.8713,100,3
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [NB-S] NW,N,3,1,0,0,0,0,347.972,Mid172,NBD,21136.9115,21538.90882,21940.90614,22084,23393,24702,24965,25228,25767.27712,26138.2221,2,2,0,0,1,1,1,2,2,1,10.07278392,5.852122017,12,2.302585093,8.15470711,807.1205219,1507.639997,0,,,,,,,,53.58416988,-113.5593601,,,,,,,,,,,,,,,,,,,,,,,,,23689.42257,60,3
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [NB-S] NW,N,3,1,0,0,0,0,691.1,Mid174,NBD,19907.04741,20285.65427,20664.26113,20799.02899,21735.38194,22336.45627,22772.28286,22884,23373.17146,23709.65096,3,6,2,1,0,1,1,2,0,0,9.991804863,6.538284531,16,2.302585093,8.840869624,681.9248342,1517.472225,0,,,,,,,,53.58822768,-113.5632174,,,,,,,,,,,,,,,,,,,,,,,,,21846.69353,50,2
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [NB-S] NW,N,3,1,0,0,0,0,332.827,Mid175,NBD,20464.25,20387.5,20310.75,20234,21053,21872,22241.5,22611,23094.33578,23426.80117,2,7,6,2,6,3,4,6,4,1,9.979036194,5.807622835,41,2.302585093,8.110207928,1073.385263,2061.408448,0,,,,,,,,53.59625585,-113.5717114,,,,,,,,,,,,,,,,,,,,,,,,,21569.51369,50,2
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [SB-S] NW,S,3,1,0,0,0,0,347.182,Mid185,SBD,21590.58366,22001.20925,22411.83484,22558,23629,24700,24352,24004,24517.11273,24870.06038,4,9,1,2,4,2,5,1,2,2,10.06319619,5.849849138,32,2.302585093,8.152434231,825.0794348,1523.51552,0,,,,,,,,53.58408085,-113.559586,,,,,,,,,,,,,,,,,,,,,,,,,23463.38009,60,3
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [SB-S] NW,S,3,1,0,0,0,0,690.401,Mid186,SBD,18771.81333,19128.82947,19485.84561,19612.9281,20495.88389,21062.68091,21473.65373,21579,22040.27561,22357.56678,1,2,1,3,0,1,3,1,0,0,9.933087506,6.537272588,12,2.302585093,8.839857681,697.5486215,1539.129812,0,,,,,,,,53.5881386,-113.5634297,,,,,,,,,,,,,,,,,,,,,,,,,20600.84774,50,2
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [SB-S] NW,S,3,1,0,0,0,0,334.234,Mid187,SBD,19992.75,19932.5,19872.25,19812,20656,21500,21117.5,20735,21178.23415,21483.11539,1,1,2,1,3,2,3,1,1,0,9.934401502,5.811841346,15,2.302585093,8.114426439,1083.337982,2073.326965,0,,,,,,,,53.59616673,-113.5719177,,,,,,,,,,,,,,,,,,,,,,,,,20627.93495,50,2
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [EB-S],E,3,1,0,0,0,0,4638.73,Mid198,EBD,21983.91822,22402.02453,22820.13085,22968.95883,24003,26506,29009,29151.31346,29774.45586,30203.08806,0,0,0,0,0,0,0,0,0,0,10.16131033,8.442195901,0,2.302585093,10.74478099,2317.30034,2695.852942,0,,,,,,,,53.57003045,-113.3219889,,,,,,,,,,,,,,,,,,,,,,,,,25882.18898,100,3
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [EB-S] NW,E,3,1,0,0,0,0,6186.2,Mid199,EBD,37104.3125,37809.98958,38515.66667,37184.33333,38476.5,33810.5,32953.25,26830,27749,28668,28,32,19,25,20,26,26,14,11,16,10.43146981,8.730076284,217,2.302585093,11.03266138,343.601898,585.8013855,0,,,,,,,,53.57925025,-113.3993652,,,,,,,,,,,,,,,,,,,,,,,,,33910.15521,50,2
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [EB-S] NW,E,3,1,0,0,0,0,2477.39,Mid201,EBD,33000.1482,33627.76928,34255.39035,34478.79663,36031,36750,35377.6,26728.5,30875.08334,35021.66667,43,39,31,28,34,25,33,19,19,18,10.42271564,7.814960866,289,2.302585093,10.11754596,114.6701224,607.9823593,0,,,,,,,,53.58232283,-113.459532,,,,,,,,,,,,,,,,,,,,,,,,,33614.59545,70,3
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [EB-S] NW,E,3,1,0,0,0,0,1818.99,Mid204,EBD,37860.73454,38580.79782,39300.8611,39557.17285,41338,38588,41429,33349,35646.5,37944,27,14,14,20,14,21,12,5,11,14,10.55475506,7.506036681,152,2.302585093,9.808621774,507.2490844,639.5639141,0,,,,,,,,53.58138549,-113.4916967,,,,,,,,,,,,,,,,,,,,,,,,,38359.40663,60,2
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [EB-S] NW,E,3,1,0,0,0,0,627.283,Mid209,EBD,33330.54727,33964.45212,34598.35697,34824,39470,35541,38323,38511.00644,39334.22289,39900.47723,24,12,7,5,9,11,13,19,3,6,10.51270151,6.441397794,109,2.302585093,8.743982887,349.9651634,849.5159136,0,,,,,,,,53.58064818,-113.5311962,,,,,,,,,,,,,,,,,,,,,,,,,36779.70629,70,3
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [EB-S] NW,E,3,1,0,0,0,0,356.354,Mid211,EBD,36062.14365,36748,36692,36636,38804,36903,37730,29821,30458.45771,30896.93678,11,7,3,5,5,4,11,11,3,7,10.46524829,5.875924619,67,2.302585093,8.178509712,210.8752632,1020.592532,0,,,,,,,,53.58049733,-113.538621,,,,,,,,,,,,,,,,,,,,,,,,,35075.15381,50,2
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [EB-S] NW,E,3,1,0,0,0,0,754.192,Mid214,EBD,30821.95078,31408.14529,31994.33981,32203,27994,34064,34094,34261.25965,34993.63294,35497.40027,12,11,6,6,3,5,10,9,1,2,10.3961443,6.625646978,65,2.302585093,8.92823207,888.1944233,1954.906179,0,,,,,,,,53.58116129,-113.5722098,,,,,,,,,,,,,,,,,,,,,,,,,32733.17287,80,3
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [WB-S],W,3,1,0,0,0,0,4666.16,Mid219,WBD,22134.12288,22555.0859,22976.04892,23125.89376,24167,22566,20965,21067.8509,21518.20011,21827.9755,0,0,0,0,0,0,0,0,0,0,10.01190768,8.448091743,0,2.302585093,10.75067684,2334.857953,2698.922648,0,,,,,,,,53.57038868,-113.3217748,,,,,,,,,,,,,,,,,,,,,,,,,22290.3178,100,3
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [WB-S] NW,W,3,1,0,0,0,0,685.652,Mid223,WBD,31993.45864,32601.93375,33210.40887,33427,38457,35810,36300,36478.08193,37257.84231,37794.20513,7,9,11,5,5,11,7,10,7,8,10.47257245,6.53037021,80,2.302585093,8.832955303,360.2482289,831.4330581,0,,,,,,,,53.58073642,-113.530783,,,,,,,,,,,,,,,,,,,,,,,,,35332.99306,60,2
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [WB-S] NW,W,3,1,0,0,0,0,1382.07,Mid224,WBD,36177.34323,36865.39054,37553.43784,37798.35327,39500,37862,39473,27441,28027.58251,28431.06677,11,13,14,6,9,7,12,5,5,10,10.46061217,7.231337654,92,2.302585093,9.533922747,718.0937459,833.8299808,0,,,,,,,,53.58166416,-113.5155487,,,,,,,,,,,,,,,,,,,,,,,,,34912.91742,70,3
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [WB-S] NW,W,3,1,0,0,0,0,720.852,Mid226,WBD,33063.19142,33692.01149,34320.83157,34544.66464,36099.83333,37098.14489,37822,37956.66667,38091.33333,38226,13,10,11,7,8,10,14,5,2,4,10.49381177,6.580433846,84,2.302585093,8.883018939,131.231408,652.7297603,0,,,,,,,,53.58139236,-113.4725239,,,,,,,,,,,,,,,,,,,,,,,,,36091.46773,70,3
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [WB-S] NW,W,3,1,0,0,0,0,1639.2,Mid231,WBD,34012.96975,34659.85341,35306.73706,35537,39072,36987.5,36894.5,31316,31985.41503,32445.87614,22,14,11,12,5,21,13,10,6,8,10.45799848,7.401963597,122,2.302585093,9.70454869,240.3422945,1120.754407,0,,,,,,,,53.58118268,-113.5534704,,,,,,,,,,,,,,,,,,,,,,,,,34821.78514,60,4
Arterial-Class A (Primary Highway Truck Route),YELLOWHEAD TR [WB-S] NW,W,3,1,0,0,0,0,9200.02,Mid235,WBD,28102.52551,28637,29489,29889,29546.5,30952.4,32973.16667,31008.2,31671.03545,32126.97076,46,32,26,34,33,40,43,18,27,37,10.32349901,9.126960937,336,2.302585093,11.42954603,1384.175861,2394.537195,0,,,,,,,,53.57331015,-113.6443465,,,,,,,,,,,,,,,,,,,,,,,,,30439.57984,60,3
